code,month,year,trout,avg_daily_disch_nr_nrst_gage,total_inverts,rarified_taxa,biotic_index,thermal_index,total_amphibians,och,trichoptera,ephemerop,coll_gath,coll_filt,filter_lent,grazer,predator,shredder
rom,6,2017,absent,0.0147,562,12.8,2.04,16.0523,19,255,223,56,56,0,5,21,274,225
sjo,6,2017,absent,0.1237,592,11.3,3.1504,17.0491,14,469,43,17,17,0,40,29,476,44
sou,6,2017,absent,0.1526,668,8.6,5.0701,15.4146,4,457,88,106,106,0,0,4,475,87
sys,6,2017,absent,0.0147,577,10.7,1.4104,16.1443,114,158,317,75,75,1,0,140,162,313
taj,6,2017,absent,0.1554,4005,7.6,7.276,19.5463,168,530,0,2997,2997,0,424,219,532,0
aho,6,2018,present,0.0155,386,15.4,1.5342,16.8477,2,50,24,293,280,0,1,32,51,24
myg,6,2018,present,0.01,327,14.3,0.9218,16.9675,2,81,163,48,48,0,0,39,78,163
sjo,6,2018,absent,0.009,714,9.8,4.9078,18.401,5,428,125,130,131,0,10,26,418,125
sou,6,2018,absent,0.0152,756,9.7,3.0987,16.0953,1,407,172,168,172,0,1,9,405,170
taj,6,2018,absent,0.0141,1215,10.3,2.9709,16.5672,60,488,0,159,159,0,510,94,496,0
aho,6,2020,present,0.0535,242,14.5,1.4159,16.8853,0,24,92,121,119,0,0,8,25,89
myg,6,2020,present,0.0333,290,12.6,2.3767,18.8386,1,108,25,131,133,0,0,34,99,25
sou,6,2020,absent,0.0532,681,13.9,3.1396,16.1934,9,243,203,227,211,0,0,48,230,201
