Stream,code,Month,year,trout,Avg Daily Disch  Nr nrst gage,Preceding Yr Dry  Duration (ys),Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool_warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified_taxa,Biotic index,Thermal index
San Ysidro,sys,3,2009,1,0.015,0,280,13,267,0,1,12,0,71,6,121,198,46,19,0,65,0,4,177,89,14,69,0,0,28,72,0,111,26,195,59,101,179,86,170,24,140,112,28,56,37,187,13,229,38,102,150,28,16,234,30,31,0.7,18.7,0.7904,16.7005
Arroyo Hondo,aho,6,2009,1,0.005,0,135,0,135,0,0,0,0,42,2,65,109,7,7,1,15,9,2,75,50,8,40,0,0,7,21,0,66,4,96,34,53,81,46,81,7,43,88,3,84,1,49,0,125,10,77,58,0,3,125,7,19,0.73,15.4,0.3415,15.854
El Capitan usual,ecm,6,2009,0,0.005,0,445,172,273,18,0,172,0,20,0,78,98,17,8,132,157,18,0,44,66,331,20,0,0,193,175,2,73,2,123,316,339,102,188,238,15,35,401,5,245,178,40,172,131,142,381,64,0,5,128,312,17,0.71,12.1,2.4836,16.0644
Refugio,ref,6,2009,0,0.0051,0,750,43,707,4,1,42,0,35,0,111,146,43,202,228,473,88,0,67,372,311,29,0,0,101,512,3,109,4,478,268,542,208,250,454,46,187,559,4,609,47,98,43,321,386,586,164,0,3,323,424,22,0.71,12.3,2.949,17.078
Romero,rom,6,2009,0,0.0134,0,993,12,981,1,12,0,0,76,1,282,359,530,40,50,620,0,2,695,220,73,54,1,0,25,628,4,282,407,515,66,186,802,62,459,467,673,247,68,189,443,362,12,443,538,650,337,6,15,887,91,27,0.6,13.1,1.3286,16.5974
San Jose,sjo,6,2009,1,0.0203,0,274,21,253,0,0,21,0,122,1,71,194,44,11,0,55,3,1,184,59,31,122,0,0,29,53,0,70,34,125,115,162,112,129,99,46,66,200,8,178,43,53,21,213,40,194,78,2,3,242,29,22,0.73,14.6,1.9115,16.5711
San Onofre upper,sou,6,2009,0,0.0051,0,665,0,665,4,0,0,0,184,1,141,326,99,129,72,300,36,3,181,287,194,167,0,0,78,270,15,138,21,534,108,432,231,192,368,103,108,540,15,495,23,150,0,492,173,430,232,3,5,515,145,32,0.76,16.9,2.9116,15.9301
San Ysidro,sys,6,2009,1,0.0134,0,374,8,366,2,0,8,0,19,0,149,168,111,84,0,195,0,3,176,176,15,20,0,0,28,178,1,148,43,314,11,86,282,92,240,36,223,73,72,97,40,238,8,263,103,214,160,0,1,287,86,22,0.67,14.1,1.4323,17.7751
Arroyo Hondo,aho,6,2010,1,0.0675,0,274,0,274,1,0,0,0,190,0,58,248,4,20,0,24,2,0,202,50,22,190,0,0,1,27,0,57,3,98,173,210,64,193,77,4,70,204,0,207,3,65,0,250,24,190,68,16,1,253,20,15,0.64,10.9,0.9987,15.7976
El Capitan usual,ecm,6,2010,0,0.0675,0.21,427,8,419,11,0,8,0,166,0,73,239,12,11,156,179,0,1,99,89,238,165,1,0,23,181,0,68,1,112,313,352,74,169,243,14,77,343,6,275,10,153,8,251,168,261,89,77,6,246,175,20,0.75,13.5,2.3488,16.0687
Refugio,ref,6,2010,0,0.0681,0,655,14,641,102,0,14,0,163,0,88,251,70,146,154,370,16,4,133,285,237,164,4,0,113,392,0,84,5,385,265,544,111,260,324,71,211,441,3,574,15,168,14,333,308,409,152,94,6,335,314,23,0.77,13.9,3.7711,16.1837
Romero,rom,6,2010,0,0.0429,0,536,19,517,9,19,0,0,67,0,242,309,149,23,28,200,0,8,379,118,38,63,7,0,14,222,2,237,122,344,69,149,386,48,356,131,351,166,18,139,118,288,19,337,180,220,294,22,31,455,50,24,0.65,14.5,0.4906,15.8768
San Jose,sjo,6,2010,1,0.0776,0,306,4,302,1,0,4,0,254,5,24,283,15,2,0,17,1,1,253,39,14,254,1,0,4,19,0,29,14,67,225,272,34,232,59,15,24,282,0,261,11,35,4,290,12,231,55,20,6,294,6,16,0.52,10.8,1.3,15.9384
San Onofre lower,sol,6,2010,0,0.0681,0,493,7,486,9,1,6,0,135,2,121,258,48,29,143,220,5,3,211,103,177,111,3,0,57,210,3,118,12,309,170,332,159,75,386,30,118,353,20,290,15,197,7,322,164,230,244,19,9,323,161,25,0.72,15.7,1.567,16.1809
San Ysidro,sys,6,2010,1,0.0429,0,196,5,191,0,3,2,0,28,1,108,137,36,14,1,51,0,3,110,80,4,28,3,0,11,47,0,107,11,162,21,45,149,33,151,10,93,68,33,54,4,137,5,172,19,81,107,8,7,175,14,24,0.67,17.2,1.6051,17.1163
Arroyo Hondo,aho,6,2011,1,0.1347,0,226,0,226,0,0,0,0,173,0,47,220,1,4,0,5,0,1,151,69,5,169,1,0,5,6,0,45,1,65,159,178,47,167,57,1,48,177,0,118,0,108,0,220,6,108,60,58,2,220,4,13,0.65,9.3,0.9814,16.2553
El Capitan usual,ecm,6,2011,0,0.1338,0,350,0,350,2,0,0,0,102,0,70,172,4,15,152,171,7,0,88,100,159,96,0,0,13,172,4,67,4,115,228,262,85,94,249,4,69,274,4,193,8,151,0,182,168,175,100,75,3,182,165,20,0.66,12.5,2.4946,16.2331
Refugio,ref,6,2011,0,0.1319,0,394,2,392,1,0,2,0,95,0,112,207,37,45,100,182,2,1,121,133,139,87,1,0,14,183,0,110,2,226,165,277,116,117,238,38,135,257,1,222,2,171,2,248,144,202,128,64,2,247,145,22,0.71,12.6,2.5554,16.082
Romero,rom,6,2011,0,0.0604,0,884,4,880,1,4,0,0,187,4,646,837,30,4,6,40,0,3,766,103,14,186,2,0,5,49,0,643,9,802,72,210,673,68,803,12,681,183,19,150,46,689,4,867,13,44,778,62,14,861,9,22,0.36,8.2,0.8389,15.7855
San Jose,sjo,6,2011,1,0.2062,0,123,0,123,0,0,0,0,98,6,9,113,5,4,0,9,0,1,108,12,3,98,1,0,1,8,0,15,10,17,96,110,13,106,11,6,14,108,1,104,6,13,0,117,6,101,17,5,7,113,3,13,0.45,10.9,0.8362,16.1188
San Onofre upper,sou,6,2011,0,0.1319,0,347,0,347,7,0,0,0,117,0,82,199,31,6,101,138,8,2,159,55,133,112,1,0,12,147,0,82,0,217,130,256,91,42,274,31,80,267,0,235,3,116,0,244,103,146,173,28,1,243,103,17,0.73,11.6,2.7058,15.6042
San Ysidro,sys,6,2011,1,0.0604,0,387,0,387,0,0,0,0,60,0,308,368,12,4,2,18,0,1,341,42,4,46,0,0,18,19,0,304,6,368,13,62,325,30,350,7,311,63,13,41,8,338,0,378,9,22,353,12,5,377,5,21,0.34,9.6,0.8035,15.8003
Arroyo Hondo,aho,6,2012,1,0.0028,0,339,1,338,0,0,1,0,129,0,188,317,8,4,3,15,0,6,252,45,42,126,0,4,9,12,1,187,5,253,81,145,194,95,234,10,159,177,3,166,2,171,1,328,10,129,209,1,3,326,10,18,0.6,10.4,0.8015,15.538
El Capitan usual,ecm,6,2012,0,0.0029,0,601,4,597,0,0,4,0,66,3,115,184,87,18,303,408,5,0,153,61,382,63,0,0,32,406,0,100,11,270,315,454,142,43,474,79,88,484,24,457,10,134,4,277,320,447,154,0,13,275,313,26,0.65,14.3,2.8707,16.0473
Gobernador,gob,6,2012,1,0.0055,0,387,2,385,0,0,2,0,84,0,266,350,10,9,2,21,13,1,250,124,12,82,0,1,8,34,0,262,9,366,11,97,289,23,351,12,181,203,2,196,2,189,2,368,17,120,266,1,3,373,11,19,0.55,10.2,1.1067,15.6171
Maria Ygnacio,myg,6,2012,1,0.0122,0,326,41,285,0,3,38,0,28,0,212,240,13,27,0,40,5,0,48,216,62,28,0,0,55,28,4,211,25,232,69,77,249,93,222,11,47,276,3,220,45,61,41,263,22,262,63,1,4,259,63,19,0.59,11.9,1.1987,17.4459
Refugio,ref,6,2012,0,0.0028,0,653,54,599,0,1,53,0,41,0,209,250,53,44,228,325,23,1,201,117,331,38,0,1,79,330,0,205,4,362,283,414,235,103,492,54,186,459,4,399,55,199,54,343,256,424,226,3,2,345,306,25,0.67,12.5,2.8956,16.4904
Romero,rom,6,2012,0,0.0058,0,583,64,519,5,64,0,0,44,0,308,352,124,5,36,165,0,2,304,203,74,36,1,0,15,231,0,304,35,429,118,187,395,30,471,81,288,250,44,157,27,403,64,435,84,205,360,18,69,473,41,23,0.65,13.3,2.0582,15.8814
San Jose,sjo,6,2012,1,0.0129,0,326,23,303,0,0,23,0,112,1,142,255,26,22,0,48,0,0,210,79,37,109,1,0,47,28,0,141,13,243,70,170,156,96,204,26,102,222,2,174,25,127,23,288,15,158,168,0,2,300,24,17,0.71,10.8,1.2932,16.1426
San Onofre lower,sol,6,2012,0,0.0028,0,761,31,730,4,0,31,0,119,1,322,442,96,19,154,269,17,2,369,120,272,116,0,1,57,272,0,319,2,565,194,400,361,69,611,81,264,473,24,423,33,309,31,570,160,370,389,2,5,567,189,25,0.66,12.7,0.5286,16.1164
San Ysidro,sys,6,2012,1,0.0058,0,342,12,330,0,0,12,0,25,0,267,292,33,3,1,37,0,1,257,69,15,20,0,0,25,34,0,263,15,308,18,43,298,26,296,19,233,88,20,67,17,258,12,313,17,90,252,0,4,324,14,15,0.5,10.4,0.7958,16.1949
Arroyo Hondo,aho,6,2013,1,0.0101,0,656,42,614,1,1,41,0,362,1,166,529,45,26,2,73,12,0,293,297,66,347,0,2,77,71,0,160,23,502,131,428,228,345,264,47,153,301,202,415,40,202,42,585,29,380,268,8,8,602,46,24,0.71,13.3,2.2542,18.3819
Gobernador,gob,6,2013,1,0.0039,0.02,2185,1522,663,4,1,1521,0,39,0,153,192,117,3,2,122,13,336,105,147,1933,39,0,1851,7,138,1,153,46,2111,28,1956,229,1893,173,119,97,2063,25,2077,13,99,1522,607,56,2068,117,0,1,1838,346,22,0.55,9.6,5.9416,18.0862
Maria Ygnacio,myg,6,2013,1,0.0121,0,555,88,467,0,0,88,0,178,0,223,401,42,18,0,60,5,1,70,229,255,178,0,4,91,56,4,222,32,278,244,281,273,283,234,37,70,457,27,387,91,77,88,427,40,477,78,0,1,450,104,20,0.64,10.3,2.0239,18.4652
Refugio,ref,6,2013,0,0.0101,0.19,734,104,630,2,2,102,0,60,0,231,291,78,17,191,286,53,0,178,193,363,60,0,8,97,340,0,231,7,427,300,432,302,132,518,84,138,582,14,505,98,133,104,414,216,498,233,3,2,433,299,21,0.76,11.8,2.2343,17.0052
Romero,rom,6,2013,0,0.0039,0,5252,4735,517,24,26,4709,0,65,0,92,157,260,8,91,359,0,1,149,182,4803,64,1,4591,147,387,2,84,65,4951,118,4895,239,4604,344,186,88,4964,82,4944,143,189,4735,358,159,5082,166,4,35,5118,99,24,0.75,13.1,6.4436,18.1568
San Jose,sjo,6,2013,1,0.0121,0,430,81,349,0,1,80,0,135,0,131,266,69,10,0,79,3,1,216,94,118,135,0,1,86,81,2,125,32,309,87,255,173,119,241,68,109,291,28,226,88,116,81,313,36,213,217,0,7,338,85,22,0.67,11.2,1.5249,17.0262
San Onofre upper,sou,6,2013,0,0.01,0,1001,28,973,5,0,28,0,194,0,382,576,67,5,297,369,24,4,401,227,371,196,0,0,33,395,0,382,4,569,426,471,528,136,812,51,311,571,117,637,29,340,28,670,303,571,427,3,4,668,329,24,0.61,10.7,2.9258,16.7137
San Ysidro,sys,6,2013,0,0.0039,0,658,212,446,1,0,212,0,15,0,345,360,82,2,1,85,0,1,238,201,121,16,0,93,124,83,0,343,43,487,30,138,422,134,373,53,231,290,39,268,140,251,212,397,49,443,215,0,0,633,25,17,0.59,9,1.7575,17.2248
Arroyo Hondo,aho,6,2014,1,0.0045,0,410,27,383,1,0,27,0,260,0,30,290,17,4,0,21,6,66,75,187,147,260,1,64,32,24,0,30,8,273,128,327,82,301,93,15,5,261,143,371,27,13,27,374,9,343,66,1,1,317,92,17,0.78,11.7,2.3859,19.7077
Gobernador,gob,6,2014,0,0.0021,0.02,212,23,189,9,0,23,0,19,0,10,29,78,0,3,81,0,79,5,18,189,19,0,98,4,90,0,10,8,184,20,194,18,116,17,79,0,211,1,216,4,1,23,178,11,207,5,0,0,126,86,11,0.68,8.8,2.881,17.8143
Maria Ygnacio,myg,6,2014,1,0.0063,0,370,15,355,0,1,14,0,230,0,83,313,25,8,0,33,9,0,29,96,243,230,0,0,16,40,1,83,9,125,234,252,116,252,104,12,31,319,18,319,15,36,15,341,14,331,39,0,1,347,22,20,0.51,10.5,2.6479,18.3413
Refugio,ref,6,2014,0,0.0044,0.19,888,157,731,0,5,152,0,74,0,285,359,80,24,216,320,42,10,113,319,455,74,0,56,112,361,0,285,29,494,364,510,377,225,582,80,89,776,22,687,106,95,157,475,256,728,160,0,5,534,349,20,0.73,12,3.9417,17.6331
Romero,rom,6,2014,0,0.0021,0,1089,669,420,26,30,639,0,88,0,71,159,147,3,111,261,0,0,148,115,731,89,0,544,122,288,1,71,28,830,136,848,146,548,337,109,61,883,50,875,108,132,669,279,141,920,168,1,30,945,114,18,0.79,11.3,5.0569,17.6544
San Jose,sjo,6,2014,1,0.0063,0,407,42,365,0,0,42,0,97,0,187,284,43,5,21,69,1,11,175,116,116,97,0,20,37,68,1,184,30,286,91,181,226,112,254,41,131,251,25,232,40,135,42,313,52,234,172,1,3,338,66,20,0.74,12,2.0061,16.9058
San Ysidro,sys,6,2014,0,0.0021,0,259,92,167,9,0,92,0,5,0,84,89,74,1,2,77,0,1,69,59,103,5,0,52,51,76,0,84,25,193,13,109,122,66,100,65,64,154,13,147,46,75,92,138,29,193,66,0,0,243,16,15,0.78,10.9,2.2048,17.4204
Tajiguas,taj,6,2014,0,0.0045,0,613,30,583,29,5,25,0,56,0,20,76,289,16,170,475,2,30,17,40,552,56,0,27,54,471,14,20,11,355,243,557,52,112,209,288,6,597,6,590,39,13,30,386,197,589,24,0,8,368,237,21,0.6,11.5,2.7233,17.4811
Arroyo Hondo,aho,6,2015,0,0.0014,0,566,133,433,6,0,133,0,160,1,58,219,74,2,5,81,5,128,121,92,342,159,0,128,135,93,0,57,8,369,178,451,104,305,175,75,13,508,34,422,134,16,133,420,13,439,127,0,0,299,267,19,0.7,10,3.1581,16.1917
Gobernador,gob,6,2015,0,0.0004,0,419,24,395,14,0,24,0,200,0,25,225,111,1,4,116,0,54,10,25,383,201,0,73,14,120,0,25,6,205,207,385,33,278,29,111,8,408,2,419,5,9,24,383,12,410,9,0,0,355,64,17,0.57,9.2,3.0973,17.7559
Maria Ygnacio,myg,6,2015,1,0.012,0,704,17,687,4,0,17,0,406,0,197,603,46,10,0,56,21,7,62,191,449,406,0,8,24,70,5,195,15,268,419,438,264,440,232,30,61,624,17,622,22,64,17,661,26,621,82,1,2,669,33,23,0.51,10.5,3.6645,17.267
Romero,rom,6,2015,0,0.0004,0,1236,728,508,16,31,697,0,48,0,181,229,163,2,113,278,0,1,164,201,833,48,0,659,57,308,1,179,76,979,143,910,288,662,400,136,114,1050,34,1033,78,141,728,318,190,1080,156,0,34,1086,116,18,0.8,11.1,4.7807,17.7137
San Jose,sjo,6,2015,1,0.012,0,274,24,250,0,0,24,0,36,0,165,201,34,4,7,45,4,0,49,149,76,36,1,7,20,45,1,164,17,204,53,84,190,60,179,35,43,225,6,208,22,44,24,226,24,224,50,0,0,247,27,19,0.65,11.4,1.4475,17.1908
San Ysidro,sys,6,2015,0,0.0004,0,213,78,135,117,0,78,0,2,0,95,97,26,8,1,35,0,3,94,15,83,6,0,29,169,30,1,95,12,147,33,80,112,67,99,26,93,95,4,180,57,93,78,116,19,120,93,0,0,160,53,18,0.58,9.2,1.3005,16.9812
Tajiguas,taj,6,2015,0,0.0013,0,608,169,439,20,28,134,7,42,0,25,67,38,22,193,253,2.5,116.7,18,54,526,49.2,0,138,131,267,18,26,4,226,368,538,59.2,305.8,259.2,32.5,13,580,5,450,135,43,169.2,220,219.2,553.3,48.3,6.7,29.2,138,442,28,0.67,14.6,1.3543,17.8534
Arroyo Hondo,aho,6,2016,0,0.0046,0,378,27,351,13,0,27,0,96,0,15,111,139,0,73,212,10,18,14,30,334,96,0,20,33,227,0,15,6,188,184,343,35,132,106,140,5,368,5,360,25,6,27,272,79,354,24,0,0,262,116,16,0.72,11.1,4.2918,16.455
Maria Ygnacio,myg,6,2016,1,0.0104,0,332,24,308,0,0,24,0,151,0,83,234,59,2,0,61,9,4,20,102,206,151,0,4,25,69,0,83,15,138,175,194,134,181,110,37,21,293,14,282,24,26,24,289,19,302,30,0,0,302,30,14,0.7,10.5,1.4623,18.4322
Romero,rom,6,2016,0,0.0001,0,2833,2246,587,31,32,2214,0,24,0,298,322,150,3,111,264,0,1,228,206,2301,24,1,2116,130,293,2,298,52,2545,138,2354,381,2124,480,131,208,2488,39,2482,131,251,2246,421,166,2602,229,2,33,2687,113,18,0.77,11.5,4.6206,17.9538
San Jose,sjo,6,2016,0,0.0106,0,241,22,219,8,3,19,0,19,0,64,83,97,2,21,120,0,16,17,83,140,19,0,17,25,122,1,65,16,165,59,142,98,55,87,98,17,205,18,208,19,22,22,182,37,220,21,0,3,182,56,17,0.73,11,2.5453,17.9982
San Ysidro,sys,6,2016,0,0.0001,0,439,57,382,109,1,56,0,12,0,232,244,58,7,28,93,0,45,236,20,170,14,0,51,159,92,0,232,11,348,67,177,249,101,262,63,231,185,10,252,53,243,57,338,44,201,237,1,1,315,123,24,0.59,10.7,1.9207,16.3007
Tajiguas,taj,6,2016,0,0.004,0,1221,90,1131,7,56,34,0,215,0,2,217,21,29,20,70,1,843,0,71,1139,215,0,847,36,110,16,2,3,897,312,1179,33,1106,83,23,2,1204,6,1119,42,65,90,1078,53,1164,57,0,56,247,918,23,0.39,8.9,5.4421,15.044
Arroyo Hondo,aho,6,2017,1,0.1583,0,915,1,914,11,0,1,0,746,0,145,891,3,8,1,12,10,1,170,88,656,746,1,0,11,25,0,143,4,208,702,753,161,708,202,4,110,800,4,787,3,136,1,902,12,725,162,28,2,904,9,21,0.39,8.5,4.4074,15.8568
Gobernador,gob,6,2017,0,0.0149,0.56,376,3,373,24,0,3,0,26,0,17,43,224,74,32,330,0,0,21,81,274,26,0,0,14,342,1,17,6,317,53,352,24,94,58,224,85,290,1,382,5,13,3,262,111,355,21,0,0,267,109,14,0.59,10.1,4.5994,16.084
Maria Ygnacio,myg,6,2017,1,0.1237,0,250,22,228,3,1,21,0,102,0,66,168,17,15,2,34,26,0,70,87,86,102,0,0,25,59,2,65,4,115,124,134,109,130,99,14,29,203,11,198,23,32,22,208,20,195,54,1,2,210,38,25,0.73,14.7,0.2853,17.8069
Romero,rom,6,2017,0,0.0147,0,562,23,539,19,18,5,0,56,4,223,283,196,7,52,255,0,1,270,87,204,56,0,5,21,274,0,225,32,446,83,282,279,29,358,174,227,305,29,287,16,278,23,454,85,269,278,15,24,478,60,23,0.65,12.8,2.04,16.0523
San Jose,sjo,6,2017,0,0.1237,0,592,17,575,14,0,17,0,17,1,43,61,447,11,11,469,3,42,39,40,510,17,0,40,29,476,0,44,10,545,34,532,57,79,58,452,39,543,7,550,20,36,17,543,32,552,38,2,1,510,81,23,0.42,11.3,3.1504,17.0491
San Onofre upper,sou,6,2017,0,0.1526,0,668,1,667,4,0,1,0,106,1,88,195,397,4,56,457,15,0,147,42,479,106,0,0,4,475,0,87,5,579,84,560,108,32,238,398,71,595,2,598,3,71,1,604,63,504,163,1,2,605,61,18,0.51,8.6,5.0701,15.4146
San Ysidro,sys,6,2017,0,0.0147,0,577,26,551,114,0,26,0,75,0,317,392,113,13,32,158,0,1,353,53,171,75,1,0,140,162,0,313,14,472,91,243,334,70,393,114,314,249,14,303,34,354,26,500,51,189,353,35,5,501,71,22,0.58,10.7,1.4104,16.1443
Tajiguas,taj,6,2017,0,0.1554,0,4005,53,3952,168,0,53,0,2997,0,0,2997,407,58,65,530,1,424,0,46,3945,2997,0,424,219,532,1,0,0,877,3114,3989,2,3518,66,407,43,3946,2,4118,53,2,53,3829,123,4004,1,0,0,3405,600,16,0.4,7.6,7.276,19.5463
Arroyo Hondo,aho,6,2018,1,0.0155,0,386,6,380,2,0,6,0,293,0,24,317,19,31,0,50,12,1,174,140,57,280,0,1,32,51,0,24,3,214,154,262,109,191,164,16,25,271,75,313,9,66,6,356,24,198,170,18,0,360,26,25,0.71,15.4,1.5342,16.8477
Maria Ygnacio,myg,6,2018,1,0.01,0,327,31,296,2,5,26,0,48,0,163,211,60,21,0,81,4,0,133,95,97,48,0,0,39,78,1,163,21,232,72,111,214,93,189,43,138,162,25,138,33,158,31,272,24,176,150,1,5,275,47,24,0.68,14.3,0.9218,16.9675
San Jose,sjo,6,2018,0,0.009,0,714,20,694,5,1,19,0,130,0,125,255,354,13,61,428,0,11,30,167,517,131,0,10,26,418,9,125,14,493,207,514,200,171,187,356,30,630,54,657,29,33,20,610,84,682,32,0,2,609,103,18,0.58,9.8,4.9078,18.401
San Onofre upper,sou,6,2018,0,0.0152,0,756,0,756,1,0,0,0,168,1,172,341,264,7,136,407,1,7,263,126,366,172,0,1,9,405,0,170,38,534,183,491,264,62,435,258,143,567,45,591,2,164,0,578,178,489,267,0,5,609,142,22,0.61,9.7,3.0987,16.0953
Tajiguas,taj,6,2018,0,0.0141,0,1215,56,1159,60,24,32,0,159,0,0,159,146,39,303,488,1,511,0,54,1156,159,0,510,94,496,16,0,6,695,509,1189,21,739,320,151,20,1179,11,1194,47,34,56,811,348,1189,26,0,24,306,885,23,0.59,10.3,2.9709,16.5672
Arroyo Hondo,aho,6,2020,1,0.0535,0,242,5,237,0,0,5,0,121,0,92,213,14,10,0,24,0,0,127,80,29,119,0,0,8,25,1,89,5,165,66,131,105,93,131,12,74,134,28,133,6,103,5,222,15,105,114,23,3,225,14,22,0.73,14.5,1.4159,16.8853
Maria Ygnacio,myg,6,2020,1,0.0333,0,290,23,267,1,0,23,0,131,0,25,156,90,17,1,108,1,2,73,63,152,133,0,0,34,99,0,25,14,123,151,202,86,169,60,59,7,267,14,250,24,17,23,254,13,272,14,4,0,247,43,22,0.72,12.6,2.3767,18.8386
San Onofre upper,sou,6,2020,0,0.0532,0,681,0,681,9,0,0,0,227,1,203,431,133,30,80,243,7,0,297,181,203,211,0,0,48,230,0,201,5,520,156,415,266,125,430,126,167,470,44,423,5,262,0,584,97,319,321,41,3,595,83,24,0.72,13.9,3.1396,16.1934
